2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 21:54:26,733 - St: gail, Ep: 573, Rew: 176.3396, ag_num: 2, time: 235.6071, final: 182.9789, pol_l: 0.0046, kl: -0.0, val_l: 2.3236, ag_rew: 0.4442, ex_rew: 1.682, dis_l: 0.9212
2021-12-27 21:54:56,931 - St: gail, Ep: 574, Rew: 165.2354, ag_num: 2, time: 176.5588, final: 167.7966, pol_l: 0.0059, kl: -0.0, val_l: 2.8624, ag_rew: 0.4331, ex_rew: 1.6918, dis_l: 0.9154
2021-12-27 21:54:56,931 - stage gail, checkpoints establish, episode 574
2021-12-27 21:55:28,701 - St: gail, Ep: 575, Rew: 153.0724, ag_num: 2, time: 179.0294, final: 153.373, pol_l: 0.0039, kl: -0.0, val_l: 2.8954, ag_rew: 0.4874, ex_rew: 1.6361, dis_l: 0.9652
2021-12-27 21:55:28,701 - stage gail, checkpoints establish, episode 575
2021-12-27 21:55:59,913 - St: gail, Ep: 576, Rew: 182.7615, ag_num: 2, time: 190.0312, final: 185.2676, pol_l: 0.0041, kl: 0.0, val_l: 2.5888, ag_rew: 0.4598, ex_rew: 1.6116, dis_l: 0.9359
2021-12-27 21:56:34,584 - St: gail, Ep: 577, Rew: 137.8986, ag_num: 2, time: 176.6154, final: 141.767, pol_l: 0.006, kl: 0.0, val_l: 3.7527, ag_rew: 0.477, ex_rew: 1.5509, dis_l: 0.9662
2021-12-27 21:57:09,835 - St: gail, Ep: 578, Rew: 165.3347, ag_num: 2, time: 188.4324, final: 158.7311, pol_l: 0.0042, kl: -0.0, val_l: 3.4451, ag_rew: 0.478, ex_rew: 1.5527, dis_l: 0.9627
2021-12-27 21:57:43,009 - St: gail, Ep: 579, Rew: 150.9564, ag_num: 2, time: 216.9118, final: 170.088, pol_l: 0.0058, kl: -0.0, val_l: 2.9208, ag_rew: 0.4414, ex_rew: 1.6202, dis_l: 0.9079
2021-12-27 21:58:15,936 - St: gail, Ep: 580, Rew: 137.4956, ag_num: 2, time: 192.2432, final: 152.37, pol_l: 0.0062, kl: -0.0, val_l: 3.8846, ag_rew: 0.495, ex_rew: 1.5713, dis_l: 0.9811
